No.,Title,Members,Status,Scope,Type,Upgraded,Upgraded Status,Year of Signature (Upgraded),Year of Enforcement/Termination (Upgraded),Trade in Goods,Year of Signature (Goods),Year of Enforcement/ Termination (Goods),WTO Notification  (Goods),WTO Notification Link,WTO Notification Year (Goods),WTO Consideration Process (Goods),SPS/TBT ,Anti-Dumping Duty, Safeguard,Trade in Services,Year of Signature (Services),Year of Enforcement/ Termination (Services),WTO Notification (Services),WTO Notification Year (Services),WTO Consideration Process (Services),Liberalization Approach (Services),Investment,Year of Signature (Investment),Year of Enforcement/ Termination  (Investment),Liberatlization approach (Investment),BIT (Source UNCTAD),Trade Facilitation & Customs Cooperation,Government Procurement,Competition Policy,Intellectual Property,Dispute Settlement,Temporary Movement of Natural Persons ,Sustainable Development Related Provisions,Sustainable Development by Concept,Labour protection,Human Rights,Gender,Health,Environment,SMEs,Technical Cooperation,Transparency,Financial Services,Telecommunications,E-commerce,"Online Consumer Protection 
(in E-commerce Chapter)","Personal Data Protection 
(in E-commerce Chapter)","Data flows 
(in E-commerce Chapter)",Link to website
139,India-Peru,India; Peru,Under Negotiation,Bilateral,FTA & EIA,No,No,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,No,Yes,N/A,N/A,N/A,Yes,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.sice.oas.org/TPD/PER_IND/PER_IND_e.ASP#Background
140,India-Republic of Korea (Upgrade),India; Republic of Korea,Entry into Force,Bilateral,FTA & EIA,Yes,Under Negotiation,No,No,Yes,2009,2010,2010,http://rtais.wto.org/UI/PublicShowMemberRTAIDCard.aspx?rtaid=715,2010,Factual Presentation not distributed  ,Yes,Yes,Yes,Yes,2009,2010,GATS Art. V,2010,Factual Presentation not distributed,Positive,Yes,2009,2010,Negative,Terminated,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,https://commerce.gov.in/wp-content/uploads/2020/05/INDIA-KOREA-CEPA-2009.pdf
141,India-Singapore ,India; Singapore,Entry into Force,Bilateral,FTA & EIA,No,No,No,No,Yes,2005,2005,2005,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=10,2007,Factual Presentation distributed,Yes,Yes,Yes,Yes,2005,2005,GATS Art. V,2007,Factual Presentation distributed,Positive,Yes,2005,2005,Negative,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,https://www.enterprisesg.gov.sg/non-financial-assistance/for-singapore-companies/free-trade-agreements/ftas/singapore-ftas/-/media/ESG/Files/Non-Financial-Assistance/For-Companies/Free-Trade-Agreements/CECA_India/Legal_Text/CECA_Legal_Text.pdf
142,India-Southern African Customs Union (SACU) ,India; Botswana; Lesotho; Namibia; South Africa; Swaziland,Under Negotiation,Country - Bloc,Partial Scope Agreement,No,No,No,No,Yes,N/A,N/A,N/A,http://rtais.wto.org/UI/PublicShowEARTAIDCard.aspx?rtaid=718,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://aric.adb.org/fta/india-southern-african-customs-union-preferential-trade-agreement
143,India-Southern Common Market (MERCOSUR),India; Argentina; Brazil; Paraguay; Uruguay,Entry into Force,Country - Bloc,Partial Scope Agreement,No,No,No,No,Yes,2004,2009,2009,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=520,2010,Factual Presentation distributed,Yes,Yes,Yes,No,No,No,No notification,No,No report,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,https://commerce.gov.in/international-trade/trade-agreements/india-mercosur-pta/
144,India-Sri Lanka,India; Sri Lanka,Entry into Force,Bilateral,Free Trade Agreement,No,No,No,No,Yes,1998,2001,2001,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=72,2002,Factual Abstract distributed ,No,Yes,Yes,No,No,No,No notification,No,No report,No,No,No,No,No,Terminated,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,https://commerce.gov.in/international-trade/trade-agreements/india-sri-lanka-fta/
145,India-Thailand,Thailand; India,Entry into Force,Bilateral,Partial Scope Agreement/ early Harvest,No,No,No,No,Yes,2003,2004,2004,https://rtais.wto.org/UI/PublicShowMemberRTAIDCard.aspx?rtaid=873,2017,Factual Presentation distributed,N/A,N/A,N/A,No,No,No,No notification,No,No report,No,No,No,No,No,Terminated,N/A,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,https://commerce.gov.in/international-trade-trade-agreements-indias-current-engagements-in-rtas/india-thailand-comprehensive-economic-cooperation-agreement-ceca-negotiations/
146,India-United Arab Emirates,India; United Arab Emirates,Entry into Force,Bilateral,FTA & EIA,No,No,No,No,Yes,2022,2022,2022,https://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=1198,2022,Awaiting data from the parties,Yes,Yes,Yes,Yes,2022,2022,GATS Art. V,2022,Awaiting data from the parties,Positive,Yes,N/A,N/A,N/A,In force,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,N/A,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,https://www.moec.gov.ae/en/cepa_india
147,India-United Kingdom,India; United Kingdom,Under Negotiation,Bilateral,Partial Scope Agreement/ early Harvest,No,No,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Terminated,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.gov.uk/government/news/joint-outcome-statement-india-uk-round-one-fta-negotiations
148,Indonesia-Canada,Indonesia; Canada,Under Negotiation,Bilateral,FTA & EIA,No,No,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.canada.ca/en/global-affairs/news/2021/06/canada-to-begin-negotiations-with-indonesia-on-a-comprehensive-economic-partnership-agreement.html
149,Indonesia-Chile ,Indonesia; Chile,Entry into Force,Bilateral,Free Trade Agreement,No,No,No,No,Yes,2017,2019,2019,https://rtais.wto.org/UI/PublicShowMemberRTAIDCard.aspx?rtaid=906,2020,Factual Presentation distributed,Yes,Yes,Yes,No,No ,No,No notification,No,No report,No,No,No,No,No,Signed,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,http://www.sice.oas.org/TPD/CHL_IDN/CHL_IDN_e.asp#Background
150,Indonesia-European Free Trade Association (EFTA),Indonesia; Iceland; Liechtenstein; Norway; Switzerland,Entry into Force,Country - Bloc,FTA & EIA,No,No,No,No,Yes,2018,2021,2021,http://rtais.wto.org/UI/PublicShowEARTAIDCard.aspx?rtaid=601,2022,Awaiting data from the parties,Yes,Yes,Yes,Yes,2018,2021,GATS Art. V,2022,Awaiting data from the parties,Positive,Yes,2018,2021,Negative,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,https://www.efta.int/free-trade/Free-Trade-Agreement/Indonesia
151,Indonesia-European Union (EU),Indonesia; European Union (EU),Under Negotiation,Country - Bloc,FTA & EIA,No,No,No,No,Yes,N/A,N/A,N/A,http://rtais.wto.org/UI/PublicShowMemberRTAIDCard.aspx?rtaid=982,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,No,N/A,Yes,N/A,Yes,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://ec.europa.eu/trade/policy/countries-and-regions/countries/indonesia/
152,Indonesia-Iran (Islamic Republic of),Indonesia; Iran (Islamic Republic of),Signed & Pending ratification,BIlateral,Partial Scope Agreement,No,No,No,No,Yes,2023,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,In force,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.reuters.com/world/indonesia-iran-sign-preferential-trade-agreement-2023-05-23/
153,Indonesia-Japan,Indonesia; Japan,Entry into Force,Bilateral,FTA & EIA,No,No,No,No,Yes,2007,2008,2008,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=172,2008,Factual Presentation distributed,No,Yes,Yes,Yes,2007,2008,GATS Art. V,2008,Factual Presentation distributed,Positive,Yes,2007,2008,Negative,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,N/A,Yes,No,Yes,Yes,Yes,No,No,No,No,No,http://www.mofa.go.jp/region/asia-paci/indonesia/epa0708/index.html
154,Indonesia-Morocco,Indonesia; Morocco,Under Negotiation,Bilateral,Preferential Trade Agreement ,No,No,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,In force,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://aric.adb.org/fta/indonesia-morocco-free-trade-agreement
155,Indonesia-Mozambique,Indonesia; Mozambique,Entry into Force,Bilateral,Preferential Trade Agreement ,No,No,No,No,Yes,2019,2022,2022,No,2023,Awaiting data from the parties,Yes,Yes,Yes,No,No ,No,No notification,No,No report,No,No,No,No,No,In force,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,https://ftacenter.kemendag.go.id/cfind/source/files/impta/persetujuan-impta-eng.pdf
156,Indonesia-Pakistan,Indonesia; Pakistan,Entry into Force,Bilateral,Partial Scope Agreement,No,No,No,No,Yes,2012,2013,2013,https://rtais.wto.org/UI/PublicShowMemberRTAIDCard.aspx?rtaid=952,2019,Factual Presentation distributed,No,No,No,No,No,No,No,No,No report,No,No,No,No,No,Terminated,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,https://www.commerce.gov.pk/wp-content/uploads/pdf/Indonesia_Pakistan_PTA.pdf
157,Indonesia-Peru,Indonesia; Peru,Under Negotiation,Bilateral,Free Trade Agreement,No,No,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.sice.oas.org/TPD/PER_IDN/PER_IDN_e.ASP
158,Indonesia-Republic of Korea,Indonesia; Republic of Korea,Entry into Force,Bilateral,FTA & EIA,No,No,No,No,Yes,2020,2023,2023,No,No,No report ,Yes,Yes,Yes,Yes,2020,2023,No notification,N/A,N/A,N/A,Yes,2020,2023,N/A,In force,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,https://www.customs.go.kr/engportal/cm/cntnts/cntntsView.do?mi=7309&cntntsId=2332#
159,Indonesia-Sri Lanka,Indonesia; Sri Lanka,Under Negotiation,Bilateral,Free Trade Agreement,No,No,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,In force,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://aric.adb.org/fta/indonesia-sri-lanka-free-trade-agreement
160,Indonesia-Tunisia,Indonesia; Tunisia,Under Negotiation,Bilateral,Free Trade Agreement,No,No,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,In force,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://aric.adb.org/fta/indonesia-tunisia-preferential-trade-agreement
161,Indonesia-Türkiye,Indonesia; Türkiye,Under Negotiation,Bilateral,FTA & EIA,No,No,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,Terminated,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.trade.gov.tr/free-trade-agreements
162,Indonesia-United Arab Emirates ,Indonesia; United Arab Emirates ,Entry into Force,Bilateral,FTA & EIA,No,No,No,No,Yes,2022,2023,2023,No,No,No report ,Yes,Yes,Yes,Yes,2022,2023,No notification,N/A,N/A,N/A,Yes,2022,2023,N/A,In force,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.moec.gov.ae/en/cepa_indonesia
163,Iran (Islamic Republic of)-Malaysia,Iran (Islamic Republic of); Malaysia,Under Negotiation,Bilateral,Free Trade Agreement,No,No,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,In force,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.privacyshield.gov/ps/article?id=Malaysia-Trade-Agreements
164,Iran (Islamic Republic of)-Syria,Iran (Islamic Republic of); Syria,Entry into Force,Bilateral,Preferential Trade Agreement ,No,No,No,No,Yes,2010,2021,2021,No,No,No report ,Yes,Yes,Yes,No,No,No,No notification,No,No report,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,https://syrecon.gov.sy/pdf/Iran/English/the%20text%20of%20the%20agreement.pdf
165,Iran (Islamic Republic of)-Türkiye,Iran (Islamic Republic of); Türkiye,Under Negotiation,Bilateral,Free Trade Agreement,No,No,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,In force,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.trade.gov.tr/free-trade-agreements
166,Iran (Islamic Republic of)-Uzbekistan,Iran (Islamic Republic of); Uzbekistan,Signed & Pending ratification,Bilateral ,Free Trade Agreement,No,No,No,No,Yes,2023,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,In force,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.al-monitor.com/originals/2023/06/iran-uzbekistan-ink-major-deals-during-rare-visit-uzbek-president
167,Japan-Canada,Japan; Canada,Suspension,Bilateral,FTA & EIA,No,No,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,No,Yes,Yes,Yes,Yes,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.mofa.go.jp/policy/economy/fta/canada.html
168,Japan-Chile,Japan; Chile,Entry into Force,Bilateral,FTA & EIA,No,No,No,No,Yes,2007,2007,2007,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=3,2007,Factual Presentation distributed,Yes,Yes,Yes,Yes,2007,2007,GATS Art. V,2007,Factual Presentation distributed,Negative,Yes,2007,2007,Negative,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,http://www.mofa.go.jp/region/latin/chile/joint0703/agreement.pdf
169,Japan-Colombia,Japan; Colombia,Under Negotiation,Bilateral,FTA & EIA,No,No,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,In force,N/A,Yes,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.sice.oas.org/TPD/COL_JPN/COL_JPN_e.ASP#Negotiations
170,Japan-European Union (EU),Japan; European Union (EU),Entry into Force,Country - Bloc,FTA & EIA,No,No,No,No,Yes,2018,2019,2019,http://rtais.wto.org/UI/PublicShowEARTAIDCard.aspx?rtaid=836,2019,Factual Presentation distributed,Yes,N/A,N/A,Yes,2018,2019,GATS Art. V,2019,Factual Presentation distributed,Negative,Yes,2018,2019,Negative,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.mofa.go.jp/policy/economy/page6e_000013.html
171,Japan-Gulf Cooperation Council (GCC),Japan; Bahrain; Kuwait; Oman; Qatar; Saudi Arabia; United Arab Emirates,Suspension,Country - Bloc,Free Trade Agreement,No,No,No,No,Yes,N/A,N/A,N/A,http://rtais.wto.org/UI/PublicShowEARTAIDCard.aspx?rtaid=174,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,No,Yes,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.mofa.go.jp/policy/economy/fta/gcc_2006_1.html
172,Japan-Malaysia,Japan; Malaysia,Entry into Force,Bilateral,FTA & EIA,No,No,No,No,Yes,2005,2006,2006,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=22,2006,Factual Presentation distributed,Yes,Yes,Yes,Yes,2005,2006,GATS Art. V,2006,Factual Presentation distributed,Positive,Yes,2005,2006,Negative,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,http://www.mofa.go.jp/region/asia-paci/malaysia/epa/content.pdf
173,Japan-Mexico,Japan; Mexico,Entry into Force,Bilateral,FTA & EIA,No,No,No,No,Yes,2004,2005,2005,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=38,2005,Factual Presentation distributed,Yes,Yes,Yes,Yes,2004,2005,GATS Art. V,2005,Factual Presentation distributed,Negative,Yes,2004,2005,Negative,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,http://www.mofa.go.jp/region/latin/mexico/agreement/agreement.pdf
174,Japan-Mongolia,Japan; Mongolia,Entry into Force,Bilateral,FTA & EIA,No,No,No,No,Yes,2015,2016,2016,http://rtais.wto.org/UI/PublicShowMemberRTAIDCard.aspx?rtaid=835,2016,Factual Presentation not distributed  ,Yes,Yes,Yes,Yes,2015,2016,GATS Art. V,2016,Factual Presentation not distributed ,Positive,Yes,2015,2016,Negative,Terminated,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,http://www.mofa.go.jp/a_o/c_m2/mn/page3e_000298.html
175,Japan-Peru,Japan; Peru,Entry into Force,Bilateral,FTA & EIA,No,No,No,No,Yes,2011,2012,2012,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=760,2012,Factual Presentation distributed,Yes,Yes,Yes,Yes,2011,2012,GATS Art. V,2012,Factual Presentation distributed,Negative,Yes,2011,2012,Negative,In force,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,http://www.mofa.go.jp/region/latin/peru/epa201105/index.html
176,Japan-Philippines,Japan; Philippines,Entry into Force,Bilateral,FTA & EIA,No,No,No,No,Yes,2006,2008,2008,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=622,2008,Factual Presentation distributed,No,Yes,Yes,Yes,2006,2008,GATS Art. V,2008,Factual Presentation distributed,Positive,Yes,2006,2008,Negative,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,http://www.mofa.go.jp/region/asia-paci/philippine/epa0609/index.html
177,Japan-Republic of Korea,Japan; Republic of Korea,Suspension,Bilateral,FTA & EIA,No,No,No,No,Yes,N/A,N/A,N/A,https://rtais.wto.org/UI/PublicShowEARTAIDCard.aspx?rtaid=171,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,In force,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.mofa.go.jp/policy/economy/fta/rok.html
178,Japan-Singapore,Japan; Singapore,Entry into Force,Bilateral,FTA & EIA,No,No,No,No,Yes,2002,2002,2002,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=70,2002,Factual Abstract distributed ,No,Yes,Yes,Yes,2002,2002,GATS Art. V,2002,Factual Abstract distributed ,Positive,Yes,2002,2002,Negative,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,http://www.mofa.go.jp/region/asia-paci/singapore/jsepa-1.pdf
179,Japan-Switzerland,Japan; Switzerland,Entry into Force,Bilateral,FTA & EIA,No,No,No,No,Yes,2009,2009,2009,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=179,2009,Factual Presentation distributed,Yes,Yes,Yes,Yes,2009,2009,GATS Art. V,2009,Factual Presentation distributed,Negative,Yes,2009,2009,Negative,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.mofa.go.jp/region/europe/switzerland/epa0902/agreement.pdf
180,Japan-Thailand,Japan; Thailand,Entry into Force,Bilateral,FTA & EIA,No,No,No,No,Yes,2007,2007,2007,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=1,2007,Factual Presentation distributed,No,Yes,Yes,Yes,2007,2007,GATS Art. V,2007,Factual Presentation distributed,Positive,Yes,2007,2007,Positive,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,http://www.mofa.go.jp/region/asia-paci/thailand/epa0704/agreement.pdf
181,Japan-Türkiye,Japan; Türkiye,Under Negotiation,Bilateral,FTA & EIA,No,No,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,In force,N/A,Yes,Yes,Yes,Yes,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.mofa.go.jp/press/release/press4e_000997.html
182,Japan-United Kingdom ,Japan; United Kingdom,Entry into Force,Bilateral,FTA & EIA,No,No,No,No,Yes,2020,2021,2021,https://rtais.wto.org/UI/PublicShowMemberRTAIDCard.aspx?rtaid=1091,2020,Factual Presentation currently being drafted,Yes,Yes,Yes,Yes,2020,2021,GATS Art. V,2021,Factual Presentation currently being drafted,Positive,Yes,2020,2021,Positive,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.gov.uk/government/publications/ukjapan-agreement-for-a-comprehensive-economic-partnership-cs-japan-no12020
183,Japan-United States of America,Japan; United States of America,Entry into Force,Bilateral,Partial scope agreement,No,No,No,No,Yes,2019,2020,2020,No,No,No report ,No,Yes,Yes,No,No,No,No notification,No,No report,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N/A,No,No,No,No,No,No,No,No,No,No,No,No,https://ustr.gov/countries-regions/japan-korea-apec/japan/us-japan-trade-agreement-negotiations/us-japan-trade-agreement-text
184,Japan-United States of America Digital Trade Agreement,Japan; United States of America,Entry into Force,Bilateral,Digital,No,No,No,No,Yes,2019,2020,2020,No,No,No report ,No,Yes,No,No,No,No,No notification,No,No report,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N/A,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,https://ustr.gov/countries-regions/japan-korea-apec/japan/us-japan-trade-agreement-negotiations/us-japan-digital-trade-agreement-text
185,Japan-Viet Nam,Japan; Viet Nam,Entry into Force,Bilateral,FTA & EIA,No,No,No,No,Yes,2008,2009,2009,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=170,2009,Factual Presentation distributed,No,Yes,Yes,Yes,2008,2009,GATS Art. V,2009,Factual Presentation distributed,Positive,Yes,2008,2009,Negative,In force,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,N/A,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,http://www.mofa.go.jp/region/asia-paci/vietnam/epa0812/agreement.pdf
186,Kazakhstan-Belarus,Kazakhstan; Belarus,Terminated,Bilateral,Free Trade Agreement,No,No,No,No,Yes,1997,1999,1999,No,No,No report ,No,No,No,No,No,No,No notification,No,No report,No,No,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.privacyshield.gov/article?id=Kazakhstan-Trade-Agreements
